gene	p_value
RPS27	0.0000951873351949029
UBXN6	0.000608941931638617
MT-ND1	0.000942781762133106
RPS18	0.00340111800751673
HBG1	0.00340111800751673
UBB	0.00340111800751673
FTL	0.0042323317877311
RPS16	0.00578391466301975
PFN1	0.00578391466301975
HBA1	0.00578391466301975
RPL18A	0.00578391466301975
RPL23AP42	0.00579902958389618
MT-TL1	0.00625805991877501
IFITM3	0.00625805991877501
MT-ND3	0.00625805991877501
AC104389.5	0.00704688436237757
H3F3B	0.00823112680080481
SNORD4B	0.00823112680080481
CD52	0.00823112680080481
S100A6	0.00823112680080481
OST4	0.00823112680080481
SEC61B	0.00823112680080481
ATP5ME	0.00823112680080481
SNORD42A	0.00823112680080481
U91319.1	0.00877243060155469
S100A11	0.00928706419485718
RPL41	0.00984345531146716
RPS25	0.0102329525654991
AC005912.1	0.0102329525654991
RPS19	0.0103818449340299
SLC25A39	0.0103818449340299
MT-CO2	0.0121066724238227
AC104389.6	0.0133509659575831
BID	0.0133509659575831
CD74	0.0133509659575831
SLC26A3	0.0133509659575831
IFITM2	0.0133509659575831
PSME2	0.0133509659575831
RPLP1	0.0139002392473365
AC099560.2	0.0143020763006799
LIMD2	0.0144053586537076
COX17	0.0144053586537076
GUK1	0.0144053586537076
MT-ATP6	0.0144053586537076
GYPC	0.0144053586537076
HBM	0.0144053586537076
RPL36A-HNRNPH2	0.0144053586537076
SH3BGRL3	0.0162390186932425
FKBP8	0.0162390186932425
RPS2	0.0168568985088997
RPL31	0.0168568985088997
ALAS2	0.0180445648190064
TXN	0.0180445648190064
ATP5F1E	0.0186114649808686
NDUFB2	0.0186114649808686
FTH1	0.0186114649808686
RPL11	0.0192202476855279
S100A8	0.0225063927712864
MT-RNR1	0.0230401272907835
PARK7	0.0232959140347801
IFITM1	0.0232959140347801
EMP3	0.0244209849040871
RAC2	0.0251232521258667
MT-CO3	0.0252034341691275
GIMAP7	0.0257059998302884
MT-CYB	0.0263348254580637
COX7C	0.0273775968106112
COX6B1	0.0276679901057986
RPS26	0.0284641086555209
IFIT3	0.02906436233297
TMSB10	0.02906436233297
SLC25A37	0.0298345741549213
SELL	0.0310390761411108
MT-ND5	0.0310390761411108
TIMM8B	0.0310390761411108
RF01871	0.0310390761411108
RPLP0	0.0310390761411108
S100A12	0.0336335101938512
MYL6	0.0336335101938512
PSMA7	0.0336335101938512
B2M	0.0338727471057387
FBXO7	0.0350024266501386
CD3D	0.0357217604665405
ARHGAP15	0.0373584872821819
AC005258.1	0.0384968603593302
GPX1	0.0394614024059863
MYL12A	0.0397087333938876
LGALS2	0.0404877728485316
TRIR	0.041226763379117
RPL3	0.0415005893124293
VEPH1	0.0429271333722206
FCGRT	0.0436646379430798
MT-ATP8	0.0453888725956917
DAZAP2	0.0454311458493924
HBA2	0.0454311458493924
UQCRB	0.0467950540256887
LINGO1	0.0468874289620255
SNORA65	0.0484194172105184
RPS10-NUDT3	0.0492261082725289
LGALS1	0.0510658209268297
RPL3P4	0.0539900278966698
RPL15	0.054538053799018
SNORD72	0.054538053799018
AC073861.1	0.0553469472551436
PTCD1	0.0585668149957951
RPL37A	0.0591209252470619
RPL13	0.061943198374894
AC093484.3	0.061943198374894
LYZ	0.0629085159349071
MT-ND4	0.0629494784946542
PINK1-AS	0.0632494767697887
S100A4	0.0632494767697887
CMTM6	0.0662273642053662
TC2N	0.0681754831791756
RPS29	0.0681754831791756
RFX3	0.0681754831791756
CMTM2	0.0681754831791756
SGO1-AS1	0.0681754831791756
MT-ND2	0.0708987076328363
ASRGL1	0.072733609681917
RPS19P3	0.072733609681917
HLA-C	0.0745745117871078
BANK1	0.0745745117871078
ELOB	0.0745745117871078
DOCK10	0.0753898626511907
FLII	0.0792118241784502
RNF181	0.0813979209829141
LY6E	0.0814869109188721
AL157402.2	0.0818545996573679
PDZK1IP1	0.0855610330771033
CAMKK2	0.0866483881669639
ADIPOR1	0.0866483881669639
AC108110.1	0.0877447043792616
MIR7703	0.0877447043792616
LAT2	0.0877447043792616
HBB	0.0879263082752926
TESC	0.0890629170390601
EIF1	0.0902663050293315
RPS28	0.0902663050293315
RPL30	0.0902663050293315
RPL21	0.0990685993471051
AL390957.1	0.100108846535291
IFI30	0.102605277767633
HLA-DRA	0.102918830736991
AIF1	0.103042244931291
RPS14	0.106649544649536
TRAPPC5	0.107978598294392
TMA7	0.107978598294392
GNLY	0.110814059988128
BUD31	0.112752531712444
HSPE1-MOB4	0.112752531712444
GMFG	0.112752531712444
RPS6	0.112752531712444
GAB2	0.112752531712444
RPL12	0.112752531712444
HLA-E	0.112752531712444
STRADB	0.112752531712444
CNN2	0.112752531712444
HLA-A	0.116846403642077
PSME1	0.116846403642077
EHBP1	0.116846403642077
ATP5PD	0.118887456910199
NDUFA12	0.120639447970264
CCL5	0.121077065168074
MIR6805	0.12133447972382
SIK3	0.12133447972382
BSG	0.124482752411264
LIPA	0.128022129042863
FCGR3B	0.128022129042863
ISG15	0.128022129042863
VOPP1	0.128227039693165
DPM3	0.12915012527496
TRPS1	0.12915012527496
IGKC	0.129380515557712
NDUFAB1	0.133655308619374
RPS23	0.13425265296168
AC011448.1	0.13425265296168
RPS3A	0.13425265296168
AC144548.1	0.13425265296168
SERF2	0.13425265296168
RPL13P12	0.13425265296168
NAPB	0.13425265296168
YBX3	0.138655705524222
MINOS1-NBL1	0.138655705524222
RPS15	0.138655705524222
AL033519.2	0.138655705524222
TSR3	0.140816207396554
HNRNPH1	0.141170321994211
NDUFC2-KCTD14	0.14362714323874
NDUFA1	0.143657335451215
PLEK2	0.144055094467423
CPQ	0.145759987922613
FCER1G	0.145759987922613
RPS15A	0.145759987922613
RABAC1	0.145759987922613
CNBP	0.150584304714148
SNORD35B	0.152645776821138
AC022384.1	0.154355171389512
CDC14A	0.154355171389512
CDC34	0.154355171389512
EEF1G	0.155588908450875
AC020656.1	0.15680004613539
NPC2	0.157372983714541
CLASP1	0.157389282877252
C17orf49	0.157588498737478
CEACAM4	0.160929763281326
RPL27A	0.162110605949803
ASF1A	0.162110605949803
ATP5MPL	0.162110605949803
AC093423.3	0.162110605949803
ALOX5AP	0.162110605949803
LRBA	0.163715255971792
AK1	0.166527756388193
SPARC	0.168966802368572
LST1	0.169100676129479
AP001267.5	0.169214460907737
SNAP25	0.169556671946258
IFI27	0.170239241504576
CLEC2B	0.172486963200909
LITAF	0.174370043590698
ZFP36L2	0.174370043590698
HDAC9	0.174370043590698
RPS13P2	0.174370043590698
SPARCL1	0.174370043590698
C15orf39	0.174370043590698
ATP6AP1	0.174370043590698
CST3	0.174370043590698
CBR1	0.174370043590698
C2orf76	0.174370043590698
AC007969.1	0.174370043590698
IL18RAP	0.174370043590698
NAA38	0.174370043590698
RNU1-125P	0.174370043590698
UBA52	0.176860303752595
NCALD	0.179102461218319
PSAP	0.179102461218319
MDH1	0.179102461218319
SNAPIN	0.179102461218319
RPL23AP2	0.179102461218319
PRDX5	0.179102461218319
MAP3K5	0.180006995289125
PRDX2	0.182346546758691
TTN-AS1	0.183886341098589
BAG1	0.183886341098589
HS6ST3	0.183886341098589
MIR6797	0.184016745396499
SLC1A2	0.185724174857388
ATP5IF1	0.191690699098121
MT-TV	0.191690699098121
CCT4	0.192228361336837
LINC01619	0.193709274846278
SAT1	0.194240453656344
SNRPD1	0.194240453656344
RPL18AP3	0.196237461834645
RPS3	0.202476971623941
EVI2B	0.203928456953856
PURA	0.204917587887781
AC130456.3	0.205468088418431
ATP6V1F	0.205468088418431
NCOA1	0.205468088418431
RPS11	0.205646366294847
UBXN11	0.205646366294847
NAP1L4	0.205646366294847
NOP10	0.205806118967372
AC135178.2	0.2060897343571
IGLC2	0.206571134857846
RNASEH2B	0.206571134857846
CCDC124	0.207762433825962
RPLP2	0.207852238013504
TBCB	0.207852238013504
ABI1	0.210337885150102
RPS20	0.210337885150102
RPS6KA5	0.212666665333891
EPDR1	0.212666665333891
LSM10	0.214258447024753
NT5C	0.216743272618719
FAAH2	0.217603825899399
U62317.4	0.217603825899399
ISCU	0.218699207133296
ASCC2	0.220864058990055
VSIR	0.222861510036959
OXLD1	0.223810982143843
UBL5	0.223810982143843
RPL35	0.227599257215099
PFDN5	0.228534144136778
CARD16	0.228534144136778
CKLF-CMTM1	0.228534144136778
KHNYN	0.228534144136778
RPL19	0.229606138361037
AC116533.1	0.233202216205402
STN1	0.236590310354704
NDUFA2	0.239392730325916
RBFOX2	0.242022698009079
RPL37	0.243223827701299
SNORA31	0.246085879118393
HBD	0.246809133507371
SPART	0.247381765770688
NNT	0.251435793207173
GABARAP	0.253553095303396
HNRNPDL	0.255552294750894
ARPC5	0.255963850397192
GBP1	0.257117407013676
RALGAPA2	0.257484804854176
NT5C2	0.257484804854176
STAG1	0.257484804854176
WHAMMP2	0.257484804854176
AC034236.1	0.257484804854176
SNORA68	0.257484804854176
NOP53	0.257484804854176
MRPS7	0.258315407154941
HLA-DPA1	0.259908357048364
FPR1	0.259908357048364
PHACTR2	0.259908357048364
IFNAR1	0.264122170825559
LAMTOR4	0.265591198078095
ATP1B1	0.265591198078095
UBR5	0.2682701021341
RHOG	0.270441838726902
SPDYA	0.277808803097407
SIPA1L1	0.278466162863339
FBXL17	0.279163714625742
CALM1	0.279656806161542
RGL4	0.281428676593003
NDUFS7	0.287254030540341
TALDO1	0.289806430853658
ELMO1	0.290885644387336
DPYD-IT1	0.29270007401562
HBQ1	0.29270007401562
AP001324.1	0.29270007401562
REL	0.29270007401562
RPL29	0.29270007401562
GSTP1	0.294917839143555
PCCA	0.299897138772416
YIPF1	0.302680022064991
HAVCR2	0.302919024304203
GNG10	0.303114401735696
DDAH2	0.303602660682062
PPBP	0.303602660682062
NDUFB3	0.304702076256338
SNCA	0.304702076256338
PPP1CA	0.304702076256338
NDUFC1	0.304702076256338
SNORA72	0.305080697224119
IMPDH1	0.307522681873781
HELQ	0.310487877179442
BEST1	0.310487877179442
APPBP2	0.311074844393871
RPL10	0.311074844393871
MRPL21	0.31404228359483
SNORA33	0.31404228359483
ANAPC15	0.31404228359483
RGS2	0.316010399010447
AC023509.1	0.321031992691809
KLF3	0.321178973747381
AC097478.1	0.321178973747381
MKRN1	0.321178973747381
AP000646.1	0.321178973747381
PTGES3	0.321178973747381
ABHD2	0.321178973747381
PCNX4	0.322763265849412
AC107954.1	0.322799858103328
AC005943.1	0.328208351854572
SNORA21B	0.328208351854572
ZNRD1	0.328208351854572
LSP1	0.328208351854572
LINC00486	0.328208351854572
ATP5MC2	0.328208351854572
SMCHD1	0.328208351854572
FAM210B	0.328208351854572
SNW1	0.328208351854572
PHTF2	0.328208351854572
ZNF75D	0.328208351854572
ZNF831	0.328208351854572
UQCR10	0.328208351854572
FOXP1	0.328208351854572
TOLLIP	0.328785851899481
NINJ1	0.330139923820476
GRN	0.330139923820476
ARPC1B	0.330139923820476
CD300A	0.330248352155733
LRRC75A-AS1	0.330839581554855
ATP5F1B	0.331372818809173
VAMP8	0.331372818809173
ATP6V0B	0.331372818809173
CDK13	0.331372818809173
PRMT1	0.331372818809173
CDKN1C	0.331372818809173
GHITM	0.331372818809173
MED27	0.331372818809173
LGALS3	0.331372818809173
FUNDC2	0.333324209789359
MAP2K2	0.333324209789359
MTHFS	0.333813478055012
TMEM167B	0.333954540603752
TYW1B	0.333954540603752
MS4A6A	0.334227947431151
EPS15L1	0.334227947431151
SPCS2	0.334227947431151
ARL6IP5	0.334227947431151
TMSB4X	0.334227947431151
N4BP2	0.334227947431151
MIF	0.334227947431151
LTB	0.334903894327839
NCOA4	0.336333574633117
MAML2	0.336333574633117
MMP24OS	0.336333574633117
BNIP3L	0.339051969891143
AC024592.3	0.339051969891143
PTMA	0.339051969891143
SRA1	0.339051969891143
TYROBP	0.342447431386639
FIS1	0.34413577249568
CMTM5	0.344716050255856
MRPL41	0.344716050255856
H2AFJ	0.344716050255856
AC073548.1	0.344716050255856
ITM2B	0.344716050255856
AURKAIP1	0.344716050255856
RPS27A	0.344716050255856
PSMB6	0.344716050255856
SNORD14A	0.345525228701712
YWHAB	0.345525228701712
SNRNP40	0.34554927899163
RPS5	0.345961465795621
HINT1	0.346868985049714
SNRNP25	0.346868985049714
SPI1	0.346868985049714
SESN1	0.347859014847895
SEC61G	0.347859014847895
PSTPIP1	0.348260630716523
RPL13A	0.348260630716523
MTATP6P1	0.348312342784681
EIF3K	0.349184773122487
UBE2B	0.349184773122487
HIGD2A	0.349184773122487
SELENOF	0.350237937905949
CDH18	0.350237937905949
RASGRF2	0.35263504608956
PARGP1	0.353342363103428
HLA-B	0.353342363103428
NDUFAF3	0.357084627129747
CXCR1	0.357084627129747
BTN2A2	0.357084627129747
AC093330.1	0.35781286516783
RETSAT	0.35781286516783
LINC00886	0.35781286516783
NMNAT2	0.359357095294342
DEF8	0.360455912640068
AC093525.1	0.362198248153359
DAD1	0.36222742833864
DDX60L	0.36222742833864
MFNG	0.36222742833864
RPL38	0.36222742833864
YBX1	0.36222742833864
