logFC	logCPM	F	PValue	FDR
RPS27	0.501967496366168	11.172494464286	32.9369736876159	9.57715415986547e-09	9.51873351949029e-05
UBXN6	0.557428585696719	9.04810626092906	28.0476150830606	1.22535855043489e-07	0.000608941931638617
MT-ND1	0.474866057816134	10.0661557526024	26.3539522341382	2.84570408129522e-07	0.000942781762133106
RPS18	0.564433638115765	8.12542303087037	23.1273626072345	1.51756065184134e-06	0.00340111800751673
HBG1	0.479450824126908	9.42043803097852	22.765652137027	1.83208073232991e-06	0.00340111800751673
UBB	0.41522156621012	12.3472948487943	22.7036606010025	2.05319529581451e-06	0.00340111800751673
FTL	0.398860284445044	11.8186769010804	21.8304342594904	2.98081522427988e-06	0.0042323317877311
RPS16	0.529302842712103	8.04542161022411	20.7002552878212	5.3748467610857e-06	0.00578391466301975
PFN1	0.431670868486662	9.69216014847824	20.4901415983726	5.99825441503687e-06	0.00578391466301975
HBA1	0.399125867099125	16.6712495002552	20.4458232672609	6.1387482358161e-06	0.00578391466301975
RPL18A	0.535697621974506	8.07556766991372	20.3656494672503	6.40135439110748e-06	0.00578391466301975
RPL23AP42	0.580554568331004	7.72539091972493	20.194488693596	7.00154492471618e-06	0.00579902958389618
MT-TL1	0.389670072395591	11.5286749503363	19.9576026295902	8.2347684198959e-06	0.00625805991877501
IFITM3	0.546023260584903	7.92501054401508	19.6247605179878	9.43027525415003e-06	0.00625805991877501
MT-ND3	0.433998368150512	9.33728911487452	19.621839250789	9.44470256380171e-06	0.00625805991877501
AC104389.5	0.485745084234032	8.56465611121478	19.2717879085392	1.13442146894095e-05	0.00704688436237757
H3F3B	0.395140377491792	10.1435399529667	18.6562594040241	1.56627211727847e-05	0.00823112680080481
SNORD4B	0.532036653951421	7.98803726412243	18.6058977471177	1.60819271094354e-05	0.00823112680080481
CD52	0.41330308005499	9.63760427664392	18.4430433718588	1.75162309678329e-05	0.00823112680080481
S100A6	0.417862530086566	9.42094384950819	18.3996236101705	1.79198862031081e-05	0.00823112680080481
OST4	0.443480974497193	9.02719792597826	18.3713834012296	1.82110452445991e-05	0.00823112680080481
SEC61B	0.833235501282012	6.15871867625264	18.2963358064389	1.89180684642258e-05	0.00823112680080481
ATP5ME	0.530331273734473	7.83525134754865	18.2387296238431	1.94988514266271e-05	0.00823112680080481
