"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"weight_ks"	"weight_ks_adjusted"	"genes_id"
"GO:0006614"	"SRP-dependent cotranslational protein"	89	15	0.95	"0.00000000000000000000000034"	0.00000000000000000000008262	"RPL11,RPL18A,RPL3,RPL31,RPL41,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS25,RPS26,RPS27,SEC61B"
"GO:0006413"	"translational initiation"	166	14	1.76	"0.00000000000000000000397770"	0.00000000000000000048329055	"RPL11,RPL18A,RPL3,RPL31,RPL41,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS25,RPS26,RPS27"
"GO:0000184"	"nuclear-transcribed mRNA catabolic"	109	14	1.16	"0.00000000000000000579365249"	0.00000000000000046928585169	"RPL11,RPL18A,RPL3,RPL31,RPL41,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS25,RPS26,RPS27"
"GO:0002181"	"cytoplasmic translation"	78	7	0.83	"0.00000002068269850815247588"	0.00000125647393437026	"RPL11,RPL18A,RPL31,RPL41,RPLP0,RPLP1,RPS26"
"GO:0098869"	"cellular oxidant detoxification"	55	6	0.58	"0.00000271925981780847366136"	0.000110483379511959	"GPX1,HBA1,HBA2,HBG1,HBM,PARK7"
"GO:0042744"	"hydrogen peroxide catabolic process"	20	5	0.21	"0.00000272798467930762794631"	0.000110483379511959	"GPX1,HBA1,HBA2,HBG1,HBM"
"GO:0006120"	"mitochondrial electron transport, NADH to"	43	5	0.46	"0.00001416430074276271124361"	0.000491703582927334	"MT-ND1,MT-ND3,MT-ND5,NDUFB2,PARK7"
"GO:0000028"	"ribosomal small subunit assembly"	14	3	0.15	"0.00004596656651610812687435"	0.00139623445792678	"RPS10-NUDT3,RPS19,RPS27"
"GO:0002480"	"antigen processing and presentation of"	7	1	0.07	"0.00007827202636372935422391"	0.00211334471182069	"B2M"
"GO:0032981"	"mitochondrial respiratory chain complex I"	53	4	0.56	"0.00011"	0.002673	"MT-ND1,MT-ND3,MT-ND5,NDUFB2"
"GO:0015671"	"oxygen transport"	13	5	0.14	"0.00015"	0.00331363636363636	"AC104389.5,HBA1,HBA2,HBG1,HBM"
"GO:0019430"	"removal of superoxide radicals"	12	1	0.13	"0.00041"	0.0083025	"PARK7"
"GO:0010310"	"regulation of hydrogen peroxide metabolic"	10	2	0.11	"0.00081"	0.0127575	"MT-CO2,RAC2"
"GO:0061844"	"antimicrobial humoral immune response"	24	2	0.26	"0.00090"	0.0127575	"RPS19,S100A12"
"GO:0015988"	"energy coupled proton transmembrane"	24	1	0.26	"0.00094"	0.0127575	"MT-CYB"
"GO:0051291"	"protein heterooligomerization"	74	5	0.79	"0.00097"	0.0127575	"CD74,HBA1,HBA2,HBG1,HBM"
"GO:0043406"	"positive regulation of MAP kinase activity"	140	3	1.49	"0.00102"	0.0127575	"CD74,S100A12,UBB"
"GO:0048666"	"neuron development"	560	6	5.95	"0.00105"	0.0127575	"B2M,FBXO7,LINGO1,RAC2,S100A6,UBB"
"GO:0042776"	"mitochondrial ATP synthesis coupled"	15	4	0.16	"0.00111"	0.0128442857142857	"ATP5F1E,ATP5ME,MT-ATP6,MT-ATP8"
"GO:0006123"	"mitochondrial electron transport,"	10	3	0.11	"0.00135"	0.014685652173913	"COX7C,MT-CO2,MT-CO3"
"GO:0050832"	"defense response to fungus"	15	2	0.16	"0.00139"	0.014685652173913	"S100A12,S100A8"
"GO:0030593"	"neutrophil chemotaxis"	47	4	0.5	"0.00177"	0.01792125	"CD74,RAC2,S100A12,S100A8"
"GO:0006122"	"mitochondrial electron transport,"	12	2	0.13	"0.00218"	0.02034	"MT-CYB,UQCRB"
"GO:0043524"	"negative regulation of neuron apoptotic"	76	1	0.81	"0.00226"	0.02034	"PARK7"
"GO:0043312"	"neutrophil degranulation"	401	7	4.26	"0.00288"	0.021195	"B2M,FTH1,FTL,S100A11,S100A12,S100A8,SELL"
"GO:0001916"	"positive regulation of T cell mediated"	13	1	0.14	"0.00306"	0.021195	"B2M"
"GO:0042053"	"regulation of dopamine metabolic process"	10	1	0.11	"0.00314"	0.021195	"PARK7"
