"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"weight_ks"	"weight_ks_adjusted"	"genes_id"
"GO:0003735"	"structural constituent of ribosome"	152	15	1.6	"0.0000000000000000000002"	0.0000000000000000000144	"RPL11,RPL18A,RPL3,RPL31,RPL36A-HNRNPH2,RPL41,RPLP0,RPLP1,RPS10-NUDT3,RPS16,RPS18,RPS19,RPS2,RPS26,RPS27"
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	40	4	0.42	"0.0000017519327223071689"	0.0000630695780030581	"MT-ND1,MT-ND3,MT-ND5,NDUFB2"
"GO:0031720"	"haptoglobin binding"	9	4	0.09	"0.0000451813133725432738"	0.000706110379069667	"HBA1,HBA2,HBG1,HBM"
"GO:0004129"	"cytochrome-c oxidase activity"	21	4	0.22	"0.0000490354429909490929"	0.000706110379069667	"COX6B1,COX7C,MT-CO2,MT-CO3"
"GO:0005344"	"oxygen carrier activity"	12	5	0.13	"0.0000636834798189122567"	0.000764201757826947	"AC104389.5,HBA1,HBA2,HBG1,HBM"
"GO:0043177"	"organic acid binding"	87	6	0.92	"0.0000962078841687817506"	0.000989566808593184	"ALAS2,HBA1,HBA2,HBG1,HBM,S100A8"
"GO:0019825"	"oxygen binding"	13	5	0.14	"0.00014"	0.00126	"AC104389.5,HBA1,HBA2,HBG1,HBM"
"GO:0050786"	"RAGE receptor binding"	9	2	0.09	"0.00023"	0.00174	"S100A12,S100A8"
"GO:0004601"	"peroxidase activity"	28	5	0.3	"0.00025"	0.00174	"GPX1,HBA1,HBA2,HBG1,HBM"
"GO:0019843"	"rRNA binding"	54	4	0.57	"0.00027"	0.00174	"RPL11,RPL3,RPLP0,RPS18"
"GO:0046933"	"proton-transporting ATP synthase activity,"	13	2	0.14	"0.00029"	0.00174	"ATP5F1E,MT-ATP6"
"GO:0031386"	"protein tag"	8	1	0.08	"0.00095"	0.00526153846153846	"UBB"
"GO:0023026"	"MHC class II protein complex binding"	13	1	0.14	"0.00135"	0.00694285714285714	"CD74"
"GO:0005515"	"protein binding"	6214	67	65.59	"0.00503"	0.022635	"ALAS2,B2M,BID,CD3D,CD74,COX17,COX6B1,DAZAP2,EMP3,FBXO7,FCGRT,FKBP8,FTH1,FTL,GIMAP7,GPX1,GYPC,H3F3B,HBA1,HBA2,HBG1,HBM,IFIT3,IFITM1,IFITM3,LGALS2,LIMD2,LINGO1,MT-ATP6,MT-CO2,MT-CO3,MT-ND1,MT-ND3,MYL12A,MYL6,PARK7,PFN1,PSMA7,PSME2,RAC2,RPL11,RPL18A,RPL3,RPL31,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS25,RPS26,RPS27,S100A11,S100A12,S100A6,S100A8,SEC61B,SELL,SLC26A3,TMSB10,TRIR,TXN,UBB,UBXN6,UQCRB,VEPH1"
"GO:0016209"	"antioxidant activity"	49	6	0.52	"0.00818"	0.02454	"GPX1,HBA1,HBA2,HBG1,HBM,PARK7"
"GO:0050998"	"nitric-oxide synthase binding"	9	1	0.09	"0.00892"	0.0256896	"CD74"
"GO:0050681"	"androgen receptor binding"	35	1	0.37	"0.00973"	0.0269446153846154	"PARK7"
"GO:0051920"	"peroxiredoxin activity"	8	1	0.08	"0.01069"	0.0275914285714286	"PARK7"
"GO:0070180"	"large ribosomal subunit rRNA binding"	5	1	0.05	"0.01073"	0.0275914285714286	"RPLP0"
"GO:0004602"	"glutathione peroxidase activity"	9	1	0.09	"0.01262"	0.0310296774193548	"GPX1"
"GO:0050839"	"cell adhesion molecule binding"	299	6	3.16	"0.01302"	0.0310296774193548	"PARK7,PFN1,RPS2,RPS26,S100A11,SELL"
"GO:0016531"	"copper chaperone activity"	5	2	0.05	"0.01507"	0.0337764705882353	"COX17,PARK7"
"GO:0008121"	"ubiquinol-cytochrome-c reductase activity"	7	2	0.07	"0.01560"	0.0337764705882353	"MT-CYB,UQCRB"
"GO:0031625"	"ubiquitin protein ligase binding"	213	4	2.25	"0.01595"	0.0337764705882353	"BID,FBXO7,RPL11,UBB"
"GO:0004857"	"enzyme inhibitor activity"	179	2	1.89	"0.02155"	0.0369428571428571	"AC005258.1,RPL11"
"GO:0005085"	"guanyl-nucleotide exchange factor activity"	187	1	1.97	"0.02229"	0.0373227906976744	"SEC61B"
"GO:0005507"	"copper ion binding"	26	4	0.27	"0.02871"	0.0415243636363636	"COX17,MT-CO2,PARK7,S100A12"
"GO:1901567"	"fatty acid derivative binding"	17	1	0.18	"0.02940"	0.0415243636363636	"S100A8"
"GO:0004298"	"threonine-type endopeptidase activity"	19	1	0.2	"0.03011"	0.0415243636363636	"PSMA7"
"GO:0044548"	"S100 protein binding"	11	2	0.12	"0.03046"	0.0415243636363636	"S100A11,S100A6"
"GO:0020037"	"heme binding"	45	5	0.47	"0.03062"	0.0415243636363636	"AC104389.5,HBA1,HBA2,HBG1,HBM"
"GO:0017134"	"fibroblast growth factor binding"	9	2	0.09	"0.03338"	0.0421642105263158	"RPS19,RPS2"
"GO:0002020"	"protease binding"	75	2	0.79	"0.03588"	0.0437857627118644	"PARK7,SELL"
"GO:0015078"	"proton transmembrane transporter activity"	79	8	0.83	"0.03811"	0.04424	"ATP5F1E,ATP5ME,COX6B1,COX7C,MT-ATP6,MT-ATP8,MT-CO2,MT-CO3"
"GO:0015035"	"protein disulfide oxidoreductase activity"	17	2	0.18	"0.03853"	0.04424	"SH3BGRL3,TXN"
"GO:0005509"	"calcium ion binding"	245	7	2.59	"0.04133"	0.0457809230769231	"MYL12A,MYL6,S100A11,S100A12,S100A6,S100A8,SELL"
"GO:0042609"	"CD4 receptor binding"	8	1	0.08	"0.04346"	0.0474109090909091	"CD74"
