"PMN.CD49d.24h.Veh"	"PMN.CD49d.24h.PAF"	"Mono.CD11b.24h.Veh"	"Mono.CD11b.24h.PAF"	"Mono.CD162.24h.Veh"	"Mono.CD162.24h.PAF"	"Platelet.CD63.24h.Veh"	"Platelet.CD63.24h.PAF"	"Mono.CD49d.24h.Veh"	"Mono.CD49d.24h.PAF"	"Platelet.CD62P.24h.Veh"	"Platelet.CD62P.24h.PAF"
"RvD1"	0.928420657411291	0.775188618107574	0.31790298528019	0.890589910623831	0.881885431918234	0.779596404367731	0.88285999079665	0.970150953221628	0.795206271446286	0.678276444670352	0.374578571589856	0.69658922374429
"AT.RvD1"	0.610196452853603	0.630820876837536	0.566979203176532	0.574878788071916	0.575105719174631	0.932619517100512	0.236529233125463	0.236755261700774	0.562069033893242	0.678276444670352	0.887673957744065	0.328643922181457
"RvD2"	0.942367470922678	0.830482428671947	0.762401858106155	0.890589910623831	0.949797450016184	0.932619517100512	0.186215158854386	0.0891314953705566	0.79651128757342	0.908325954028866	0.670156612196877	0.467271250687914
"RvD3"	0.720965466311982	0.587425808613471	0.31790298528019	0.890589910623831	0.575105719174631	0.779596404367731	0.396384818293355	0.303264536225819	0.981006365947782	0.908325954028866	0.991715368541531	0.66125979673936
"AT.RvD3"	0.942367470922678	0.958219970532399	0.762401858106155	0.988058221613564	0.575105719174631	0.779596404367731	0.239213165062414	0.970150953221628	1	0.908325954028866	0.534469102319555	0.69658922374429
"RvD4"	0.720965466311982	0.775188618107574	0.31790298528019	0.890589910623831	0.862910232872345	0.979919062238992	0.164141004460038	0.0891314953705566	0.562069033893242	0.678276444670352	0.320745231433016	0.492247119156582
"RvD5"	0.942367470922678	0.830482428671947	0.762401858106155	0.928167115393117	0.949797450016184	0.932619517100512	0.164141004460038	0.236755261700774	0.881303155811195	0.908325954028866	0.670156612196877	0.467271250687914
"RvD6"	0.9237806740801	0.775188618107574	0.980131706860515	0.890589910623831	0.949797450016184	0.907975279260342	0.0205206266064066	0.0891314953705566	0.79651128757342	0.678276444670352	0.878894314111656	0.317543426462559
"PD1"	0.720965466311982	0.775188618107574	0.79548376268889	0.890589910623831	0.949797450016184	0.979919062238992	0.14205056074185	0.153294966017092	0.667190198976885	0.678276444670352	0.404854498723646	0.492247119156582
"PDx"	0.720965466311982	0.725271115868881	0.648675466226307	0.562069033893242	0.243477303328592	0.448701097655325	0.231846556291142	0.45278564111992	0.79651128757342	0.678276444670352	0.998007948041861	0.778200773907568
"AT.PD1"	0.671720980626556	0.630820876837536	0.621826724183058	0.959698093235238	0.7546994559296	0.907975279260342	0.233289041153796	0.783297878859943	0.79651128757342	0.678276444670352	0.887673957744065	0.66125979673936
"X22.OH"	0.533403393963302	0.587425808613471	0.762401858106155	0.906001238263323	0.7546994559296	0.907975279260342	0.577253855491744	0.636135650445594	1	0.861268111149923	0.887673957744065	0.876100147083846
"PCTR1"	0.673874604493745	0.587425808613471	0.31790298528019	0.928167115393117	0.949797450016184	0.932619517100512	0.795575188276841	0.553657089546905	0.562069033893242	0.678276444670352	0.998007948041861	0.492247119156582
"PCTR2"	0.280903259097223	0.587425808613471	0.762401858106155	0.890589910623831	0.412018142219435	0.524132371639408	0.633457716386819	0.45278564111992	0.981006365947782	0.728537073112245	0.998007948041861	0.778200773907568
"PCTR3"	0.533403393963302	0.587425808613471	0.31790298528019	0.906001238263323	0.412018142219435	0.468439814774002	0.88285999079665	0.783297878859943	0.881303155811195	0.678276444670352	0.998007948041861	0.66125979673936
"RvD1n.3.DPA"	0.720965466311982	0.630820876837536	0.566979203176532	0.890589910623831	0.575105719174631	0.907975279260342	0.312905558659962	0.236755261700774	0.881303155811195	0.908325954028866	0.878894314111656	0.467271250687914
"RvD2n.3.DPA"	0.9237806740801	0.830482428671947	0.481395893356404	0.928167115393117	0.881885431918234	0.907975279260342	0.233289041153796	0.179006662861047	1	0.991966951361216	0.670156612196877	0.328643922181457
"RvD5n.3DPA"	0.928420657411291	0.775188618107574	0.31790298528019	0.501613776668658	0.645396987083339	0.907975279260342	0.0124935649672945	0.0891314953705566	0.17144214388135	0.678276444670352	0.267031988568128	0.00212657640118359
"PD1n.3DPA"	0.725142978176993	0.775188618107574	0.762401858106155	0.562069033893242	0.575105719174631	0.779596404367731	0.0902840374859861	0.303264536225819	0.667190198976885	0.678276444670352	0.267031988568128	0.317543426462559
"PD2n.3.DPA"	0.9237806740801	0.775188618107574	0.528080469159458	0.906001238263323	0.969585052660521	0.907975279260342	0.461185010008542	0.630867849429549	0.881303155811195	0.908325954028866	0.667320568198751	0.66125979673936
"MaR1n.3DPA"	0.720965466311982	0.775188618107574	0.762401858106155	0.890589910623831	0.412018142219435	0.779596404367731	0.226413862693182	0.303264536225819	0.938050999397101	0.908325954028866	0.670156612196877	0.13072899450119
"MaR2n.3.DPA"	0.610196452853603	0.595086310373055	0.980131706860515	0.928167115393117	0.862910232872345	0.907975279260342	0.164141004460038	0.236755261700774	0.938050999397101	0.678276444670352	0.998007948041861	0.778200773907568
"RvE1"	0.942367470922678	0.830482428671947	0.980131706860515	0.562069033893242	0.862910232872345	0.979919062238992	0.186215158854386	0.305667363822196	0.938050999397101	0.908325954028866	0.898679247209264	0.66125979673936
"RvE2"	0.991966951361215	0.775188618107574	0.566979203176532	0.988058221613564	0.933184298054913	0.907975279260342	0.730247107695593	0.636135650445594	1	0.861268111149923	0.887673957744065	0.630592937569707
"RvE3"	0.928420657411291	0.830482428671947	0.995983427567161	0.890589910623831	0.949797450016184	0.932619517100512	0.186215158854386	0.236755261700774	0.938050999397101	0.861268111149923	0.887673957744065	0.317543426462559
