"PMN.CD49d.24h.Veh"	"PMN.CD49d.24h.PAF"	"Mono.CD11b.24h.Veh"	"Mono.CD11b.24h.PAF"	"Mono.CD162.24h.Veh"	"Mono.CD162.24h.PAF"	"Platelet.CD63.24h.Veh"	"Platelet.CD63.24h.PAF"	"Mono.CD49d.24h.Veh"	"Mono.CD49d.24h.PAF"	"Platelet.CD62P.24h.Veh"	"Platelet.CD62P.24h.PAF"
"RvD1"	0.0742146992664483	0.126104651599087	-0.439857851749925	-0.19850923624928	-0.128518137754093	-0.27332730705448	-0.0392191500188548	-0.0150842884687903	-0.270913820899474	-0.262466619356951	-0.407275788657338	-0.12369116544408
"AT.RvD1"	-0.34274421230943	-0.274985883681536	-0.255787690570299	-0.346132128740824	-0.315640880858272	-0.057029926595144	-0.323546019198193	-0.356295878035008	-0.370976849237719	-0.2343308865048	-0.111236589497459	-0.376623376623377
"RvD2"	-0.0367024280067758	0.0615471485036702	-0.164313946922643	-0.139469226425748	-0.0683229813664596	-0.0513833992094862	-0.389045736871824	-0.520045172219085	-0.208356860530774	-0.0400903444381705	-0.241106719367589	-0.311123658949746
"RvD3"	0.244494635798984	0.343873517786561	-0.386787125917561	-0.14059853190288	-0.279503105590062	-0.293054771315641	-0.237718802936194	-0.317899491812535	0.0559006211180124	0.0367024280067758	0.0592885375494071	-0.158667419536985
"AT.RvD3"	0.027110986678383	0.0118610566717925	0.124258688942589	0.00338887333479787	-0.28184129901069	-0.337192896812388	-0.315165220136202	0.00847218333699468	-0.018073991118922	0.0457497900197713	-0.334368835700057	-0.123129064497656
"RvD4"	-0.211744776962168	-0.199322416713721	-0.413890457368718	-0.165443252399774	-0.145115753811406	-0.012987012987013	-0.457933370976849	-0.522303783173348	-0.426312817617165	-0.268210050818746	-0.446640316205534	-0.252399774138905
"RvD5"	-0.0378317334839074	0.0807453416149068	-0.134952004517222	-0.075098814229249	-0.0536420101637493	0.0954263128176172	-0.431959345002823	-0.368718238283456	-0.160926030491248	-0.111236589497459	-0.239977413890457	-0.291925465838509
"RvD6"	-0.130434782608696	-0.121400338791643	-0.0344438170525127	-0.1914172783738	0.0705815923207228	0.121400338791643	-0.642010163749294	-0.577639751552795	-0.214003387916431	-0.298701298701299	-0.17673630717109	-0.404856013551666
"PD1"	-0.224167137210615	-0.136081309994353	-0.0965556182947487	-0.151891586674195	-0.0254093732354602	0.0062111801242236	-0.48729531338227	-0.464709203839639	-0.320158102766798	-0.220779220779221	-0.381140598531903	-0.260304912478825
"PDx"	0.198193111236589	0.235460191981931	-0.214003387916431	-0.370976849237719	-0.54488989271598	-0.504234895539243	-0.349520045172219	-0.228684359119142	-0.224167137210615	-0.28514963297572	0.00959909655561829	-0.0886504799548278
"AT.PD1"	0.309366194281365	0.268429268762091	0.232170849016449	0.0333343536371225	0.204099814374662	0.151466624421311	0.336267602479744	0.0836282907036581	0.209947946591701	0.303518062064326	0.124565216222931	-0.153805877308126
"X22.OH"	-0.401506562947635	-0.354066306230479	-0.115129403496512	0.106451307755569	0.214059694943264	0.116865022644701	-0.165462358793982	-0.147527627596033	0	-0.145792008447844	-0.105872768039506	-0.0352909226798353
"PCTR1"	0.291125115399092	0.361221259689358	0.406444578586305	0.0570944401073947	-0.0265686998519559	-0.0525721082177001	-0.0774449336110205	0.189372647880963	0.374788255358442	0.313736774847565	0.0378745295761925	-0.257207626226382
"PCTR2"	0.529678122580483	0.423403323172659	-0.135104665204627	-0.165630405460066	-0.421142157227812	-0.403052829669034	0.140757580066745	0.227812468943367	0.0503109422728527	0.197286728687928	-0.0107405382380247	0.0729226017213259
"PCTR3"	0.42679507208993	0.374788255358442	-0.396269331834492	-0.11136242278373	-0.41435865939327	-0.446014982621133	0.0333521976864979	0.0808366825282915	0.141888163039169	0.28434161756455	0.000565291486211828	-0.150932826818558
"RvD1n.3.DPA"	0.254658385093168	0.287408243929983	-0.258046301524562	-0.221908526256352	-0.29983060417843	-0.215132693393563	-0.276115189158667	-0.361942405420666	-0.178994918125353	0.0965556182947487	-0.166572557876906	-0.297571993224167
"RvD2n.3.DPA"	-0.108977978543196	-0.0638057594579334	-0.329192546583851	-0.0525127046866177	0.118012422360248	0.112365894974591	-0.332580463015246	-0.437605872388481	-0.00169395821569735	0.00282326369282891	-0.246753246753247	-0.368718238283456
"RvD5n.3DPA"	0.0841332580463015	0.128176171654433	-0.453416149068323	-0.496329757199322	-0.251270468661773	-0.160926030491248	-0.692828910220215	-0.546019198193111	-0.566346696781479	-0.453416149068323	-0.532467532467532	-0.751552795031056
"PD1n.3DPA"	0.185770750988142	0.163184641445511	-0.128176171654433	-0.382269904009034	-0.295313382269904	-0.274985883681536	-0.53811405985319	-0.303218520609825	-0.309994353472614	-0.24901185770751	-0.491812535290796	-0.403726708074534
"PD2n.3.DPA"	-0.119010368953334	-0.146758900574577	0.304000579761625	0.10174461594456	0.0086328765043869	0.147375534610605	-0.209038938213369	-0.15909158129513	0.143059096358412	0.0894119352240072	0.2922845330771	0.168341091835545
"MaR1n.3DPA"	0.199322416713721	0.204968944099379	0.131564088085827	-0.24223602484472	-0.400338791643139	-0.255787690570299	-0.360813099943535	-0.30660643704122	-0.103331451157538	0.0604178430265387	-0.233201581027668	-0.540372670807453
"MaR2n.3.DPA"	-0.339602813328907	-0.322825161563084	0.0167776517658234	-0.0705818453596707	0.163726739645793	0.154470104188787	-0.439111644491722	-0.373158116860554	-0.0873594971254941	-0.219845092103892	-0.0248772077907036	-0.0740530836560479
"RvE1"	0.049124788255223	0.0954263128176172	-0.0265386787125918	-0.428571428571429	-0.151891586674195	0.0152456239412761	-0.404856013551666	-0.294184076792772	-0.08300395256917	0.0784867306606437	-0.0920383963862225	-0.160926030491248
"RvE2"	-0.00282326369282891	0.136081309994353	-0.258046301524562	0.0107284020327499	-0.0954263128176172	-0.112365894974591	0.10446075663467	-0.139469226425748	-0.0299265951439864	-0.13382269904009	-0.108977978543196	-0.207227555053642
"RvE3"	-0.0863918690005646	-0.0581592320722755	0.00169395821569735	-0.2128740824393	-0.0378317334839074	0.0592885375494071	-0.389045736871824	-0.380011293054771	-0.0976849237718803	-0.134952004517222	-0.129305477131564	-0.43647656691135
