"PMN.CD49d.24h.Veh"	"PMN.CD49d.24h.PAF"	"Mono.CD11b.24h.Veh"	"Mono.CD11b.24h.PAF"	"Mono.CD162.24h.Veh"	"Mono.CD162.24h.PAF"	"Platelet.CD63.24h.Veh"	"Platelet.CD63.24h.PAF"	"Mono.CD49d.24h.Veh"	"Mono.CD49d.24h.PAF"	"Platelet.CD62P.24h.Veh"	"Platelet.CD62P.24h.PAF"
"RvD1"	0.269721610057595	0.357225937049394	-0.473207786759274	0.00614555567219836	-0.126325311039633	-0.0279964202844592	-0.630260876159899	-0.536029022519524	-0.0908176560447091	0.157735928919758	-0.672596926346154	-0.604312974432839
"AT.RvD1"	-0.619599008045544	-0.518079096045198	-0.096018077819273	-0.227619325653924	-0.00734255889206205	-0.165489981182629	0.349618765706647	0.324767027918129	-0.102231012266402	-0.129341998944785	0.0350183577929113	0.0576108466915638
"RvD2"	0.0807453416149068	0.101666200043936	-0.0965556182947487	-0.351778656126482	0.0773574251835121	0.0107284020327499	-0.48729531338227	-0.472614342179559	0.0197628458498024	-0.341614906832298	-0.225296442687747	-0.350649350649351
"RvD3"	-0.057029926595144	-0.07963852336775	-0.453416149068323	-0.0175042348955392	-0.277244494635799	-0.300959909655562	-0.282891022021457	-0.208356860530774	0.0875211744776962	0.0525127046866177	-0.442123094297007	-0.531338226990401
"AT.RvD3"	-0.10446075663467	-0.185823221191417	-0.0626764539808018	0.0762281197063806	-0.108977978543196	-0.0547713156408808	-0.235460191981931	-0.215132693393563	-0.00846979107848673	0.11914172783738	-0.377752682100508	-0.251270468661773
"RvD4"	0.151891586674195	0.222536015651727	-0.0434782608695652	-0.0502540937323546	0.122529644268775	0.0604178430265387	-0.165443252399774	-0.146245059288538	0.356295878035008	0.150762281197064	-0.278373800112931	-0.39356295878035
"RvD5"	-0.183512140033879	-0.183563972301551	-0.093167701863354	-0.417278373800113	-0.203839638622247	-0.27046866177301	-0.442123094297007	-0.312252964426877	-0.217391304347826	-0.238848108413326	-0.46583850931677	-0.195934500282326
"RvD6"	-0.251270468661773	-0.267720993449032	-0.0434782608695652	-0.112365894974591	-0.185770750988142	-0.184641445511011	0.0299265951439864	0.113495200451722	0.302089215132693	0.0592885375494071	-0.00846979107848673	0.13382269904009
"PD1"	-0.391304347826087	-0.343405831259518	-0.114624505928854	-0.629587803500847	-0.0333145115753811	-0.154150197628458	0.250141163184641	0.182382834556748	0.0062111801242236	-0.316770186335404	0.154150197628458	0.141727837380011
"PDx"	-0.296442687747036	-0.399322241283682	-0.0242800677583286	-0.355166572557877	-0.399209486166008	-0.470355731225296	-0.0592885375494071	0.148503670242801	0.038961038961039	-0.0784867306606437	-0.279503105590062	-0.0559006211180124
