"PMN.CD49d.24h.Veh"	"PMN.CD49d.24h.PAF"	"Mono.CD11b.24h.Veh"	"Mono.CD11b.24h.PAF"	"Mono.CD162.24h.Veh"	"Mono.CD162.24h.PAF"	"Platelet.CD63.24h.Veh"	"Platelet.CD63.24h.PAF"	"Mono.CD49d.24h.Veh"	"Mono.CD49d.24h.PAF"	"Platelet.CD62P.24h.Veh"	"Platelet.CD62P.24h.PAF"
"RvD1"	-0.0294959372605011	-0.266902261552339	0.0892072248854179	0.0237406324291838	-0.0280571110526718	0.217982170486142	-0.158270882861225	0.15899029596514	-0.343160050567293	0.0215823931174398	-0.363303617476904	-0.199996842888276
"AT.RvD1"	-0.124788255223038	0.0615471485036702	0.0525127046866177	-0.093167701863354	-0.0626764539808018	0.012987012987013	-0.377752682100508	-0.398080180688876	-0.145115753811406	-0.0457368718238283	-0.149632975719932	-0.201581027667984
"RvD2"	0.287408243929983	0.211744776962168	-0.15527950310559	-0.239977413890457	-0.0163749294184077	0.0897797854319593	-0.464709203839639	-0.604743083003953	-0.0841332580463015	-0.0355731225296443	-0.452286843591191	-0.481648785996612
"RvD3"	0.202710333145116	0.130434782608696	0.151891586674195	-0.153020892151327	-0.307735742518351	-0.00395256916996047	-0.320158102766798	-0.259175607001694	-0.122529644268775	-0.160926030491248	-0.0525127046866177	-0.160926030491248
"AT.RvD3"	0.338322521257321	0.0717311522532216	0.233832260101053	-0.0299350477907145	-0.245128504550379	-0.0192036155638546	-0.397627804616283	-0.33380402347759	0.105055073378734	0.160406671180433	-0.0412312922400408	-0.159841858957966
"RvD4"	0.0344438170525127	-0.093167701863354	-0.0875211744776962	-0.10446075663467	-0.209486166007905	0.245623941276115	-0.42970073404856	-0.0886504799548278	-0.367588932806324	-0.188029361942405	-0.400338791643139	-0.274985883681536
"RvD5"	0.442123094297007	0.392433653303218	0.0818746470920384	0.0152456239412761	-0.0920383963862225	-0.214003387916431	-0.165443252399774	-0.0547713156408808	-0.0220214568040655	0.049124788255223	-0.339356295878035	-0.204968944099379
"RvD6"	0.360813099943535	0.289666854884246	0.548277809147374	-0.202710333145116	-0.0152456239412761	0.0604178430265387	-0.271597967250141	-0.329192546583851	-0.0559006211180124	0.00734048560135517	0.184641445511011	0.0954263128176172
"PD1"	0.281761716544325	0.517786561264822	0.130434782608696	0.147374364765669	0.0423489553924336	-0.171089779785432	-0.160926030491248	-0.210615471485037	-0.0062111801242236	0.101072840203275	-0.247882552230378	-0.238848108413326
"PDx"	0.438735177865613	0.468097120271033	0.308865047995483	-0.180124223602484	0.0604178430265387	0.0581592320722755	-0.316770186335404	-0.274985883681536	-0.182382834556748	0.0773574251835121	-0.356295878035008	-0.197063805759458
"AT.PD1"	-0.171094919472859	0.116914861639787	0.202462321376217	0.246376684040917	0.250368898828617	0.260064277598746	-0.243525102049703	-0.399221478770005	0.130032138799373	0.0912506237188582	0.0826958777452153	0.0952428385065583
"X22.OH"	0.151577405608473	0.196124963745314	-0.197860582893503	-0.00752101630881737	-0.392828467206692	-0.115707943212575	-0.149263246744222	0.140006611287216	-0.172404835386737	0.0902521957058084	-0.204224519770195	-0.164305279361856
"PCTR1"	-0.0471330711289741	-0.170928366383388	0.28450203175441	-0.0403186512067127	-0.0266898113621901	0.100512693853354	-0.125498900234979	-0.217493569185507	0.141399213386922	-0.193643099457592	0.319709868019426	0.227715199068899
"PCTR2"	0.198417311660352	-0.25042412839184	0.29677803026121	0.109101256838883	0.169022154377337	0.326173187544225	-0.371396506441171	-0.311475608902717	0.196156145715504	0.197286728687928	0.0322216147140742	0.129451750342509
"PCTR3"	-0.221908526256352	0.0660643704121965	0.180124223602484	0.269339356295878	0.049124788255223	0.136081309994353	-0.0208921513269339	0.166572557876906	0.354037267080745	0.288537549407115	0.0875211744776962	0.278373800112931
"RvD1n.3.DPA"	0.177865612648221	0.136081309994353	0.138339920948617	-0.349520045172219	-0.0942970073404856	0.14059853190288	-0.425183512140034	-0.416149068322981	-0.131564088085827	-0.0886504799548278	-0.128176171654433	-0.108977978543196
"RvD2n.3.DPA"	0.130434782608696	-0.0796160361377753	-0.0446075663466968	-0.2343308865048	-0.183512140033879	0.164313946922643	-0.364201016374929	-0.183512140033879	-0.469226425748165	-0.192546583850932	-0.293054771315641	-0.349520045172219
"RvD5n.3DPA"	0.10446075663467	0.24901185770751	0.309994353472614	0.141727837380011	0.446640316205534	0.27046866177301	-0.0604178430265387	-0.370976849237719	-0.0423489553924336	0.0062111801242236	0.0513833992094862	-0.236589497459063
"PD1n.3DPA"	0.382269904009034	0.252399774138905	0.182382834556748	-0.145115753811406	0.0717108977978543	0.220779220779221	-0.409373235460192	-0.455674760022586	-0.0886504799548278	-0.136081309994353	-0.115753811405985	-0.143986448334274
"PD2n.3.DPA"	0.0536097414348292	0.288580097510889	0.0484768938506434	0.0079844295754001	0.0285158199121432	-0.172235552269345	-0.0268048707174146	-0.416330970717291	0.225845293704174	-0.0153985427525573	0.222423395314717	-0.071289549780358
"MaR1n.3DPA"	0.107848673066064	0.313382269904009	0.160926030491248	0.0265386787125918	-0.111236589497459	-0.177865612648221	-0.267080745341615	-0.358554488989272	-0.0186335403726708	-0.0446075663466968	-0.012987012987013	-0.0717108977978543
"MaR2n.3.DPA"	0.256108615411654	0.3390173911325	0.0244183380547697	-0.303809554867483	-0.103919903814485	-0.0107894982102471	-0.349239021015892	-0.450319583196101	-0.253837142104234	-0.198186046072433	-0.135720530118371	-0.216357832531797
"RvE1"	0.526821005081875	0.250141163184641	0.160926030491248	0.0852625635234331	0.245623941276115	0.298701298701299	-0.148503670242801	-0.0220214568040655	-0.0163749294184077	0.0886504799548278	0.0909090909090909	0.166572557876906
"RvE2"	-0.0581592320722755	0.0062111801242236	0.293054771315641	0.08300395256917	-0.075098814229249	0.0175042348955392	-0.229813664596273	-0.279503105590062	0.0796160361377753	0.0062111801242236	0.0208921513269339	-0.244494635798984
"RvE3"	0.360813099943535	0.377752682100508	0.118012422360248	-0.253529079616036	-0.115753811405985	0.0163749294184077	-0.425183512140034	-0.377752682100508	-0.190287972896669	-0.0547713156408808	-0.297571993224167	-0.255787690570299
